lemma_slp1	n_ambiguous_forms	sample
Acar	6	dcs:Acarita~Acarita(NOUN,1);dcs:Acaritam~Acarita(NOUN,6);dcs:Acarite~Acarita(NOUN,1);dcs:Acaritena~Acarita(NOUN,1);dcs:Acarya~Acarya(NOUN,1)
Aci	6	dcs:AcitA~Acit(ADJ,1);dcs:Acita~Acita(NOUN,6);dcs:AcitaH~Acit(ADJ,1);vidyut:Ag~Aaj(noun,7);vidyut:Ag~AaYj(noun,3)
AdA	12	dcs:AdAya~Ada(ADJ,18);vidyut:AdAsyAma~Ado(verb,1);vidyut:AdAsyAma~AdE(verb,1);vidyut:AdAsyamAna~Ado(noun,2);vidyut:AdAsyamAna~AdE(noun,2)
AdIpi	1	vidyut:AdIpayat~AdIpi(verb,1)
Ada	3	dcs:Ada~ad(VERB,1);dcs:AdaH~AdA(VERB,1);dcs:Adam~ad(VERB,1)
Adadi	1	vidyut:Adadi~AdA(verb,1)
AdeSa	1	dcs:AdeSam~AdiS(VERB,3)
Adehi	1	vidyut:Adeha~Adih(noun,6)
Adf	2	dcs:AdftAH~Adfta(ADJ,5);dcs:Adfta~Adfta(ADJ,4)
AdfS	2	vidyut:ApaSyam~AdfS(verb,1);vidyut:ApaSyat~AdfS(verb,1)
Adi	2	dcs:Adi~Adin(ADJ,5);vidyut:Adaya~AAdi(verb,2)
AdiS	4	dcs:AdiSaH~AdiS(VERB,1);dcs:AdiSaM~AdiS(VERB,1);dcs:AdiSam~AdiS(VERB,4);dcs:AdiSe~AdiS(NOUN,1)
AditA	3	vidyut:Adite~Ado(noun,13);vidyut:Adite~Adi(noun,9);vidyut:Adite~AAdi(noun,9)
Aditas	2	dcs:Adita~AdA(VERB,3);dcs:AditaH~Adi(NOUN,15)
Aditsi	2	vidyut:Adid~Aditsa(noun,21);vidyut:Adit~Aditsa(noun,21)
Aditya	12	dcs:AdityA~Aditya(ADJ,25);dcs:AdityAH~Aditya(ADJ,1);dcs:AdityAn~Aditya(ADJ,1);dcs:Aditya~Aditya(ADJ,27);dcs:AdityaH~Aditya(ADJ,15)
Adiv	1	vidyut:AdevI~Adevi(noun,1)
Adya	7	dcs:AdyA~ad(VERB,6);dcs:AdyAH~Adi(NOUN,8);dcs:Adya~ad(VERB,5);dcs:AdyaH~ad(VERB,9);dcs:AdyaM~ad(VERB,4)
Adyanta	4	vidyut:Adyanta~ad(verb,1);vidyut:Adyanta~Aad(verb,1);vidyut:Adyanta~Adi(verb,1);vidyut:Adyanta~AAdi(verb,1)
Adyantavat	1	vidyut:Adyantavat~Adyantavat(ind,1)
AgA	2	dcs:AgA~AgA(VERB,2);dcs:AgAH~AgA(NOUN,2)
AgAmi	1	vidyut:Agamyase~Agam(verb,1)
AgF	1	vidyut:Ajagara~Ajagara(noun,2)
Agam	5	dcs:AgantA~Agantf(ADJ,2);dcs:Agantum~Agantu(ADJ,2);dcs:AgatA~Agata(NOUN,1);dcs:Agata~Agata(NOUN,1);dcs:Agatam~Agata(NOUN,1)
Agama	3	dcs:Agama~Agama(ADJ,1);dcs:AgamaH~Agam(VERB,4);dcs:Agamam~Agam(VERB,14)
AganIgam	1	dcs:AganIganti~AganIganti(NOUN,1)
Agastya	1	dcs:Agastyam~Agastya(NOUN,1)
Agati	1	dcs:AgatyA~Agam(VERB,3)
Agneya	3	dcs:Agneya~Agneya(NOUN,2);dcs:AgneyaM~Agneya(NOUN,4);dcs:Agneyam~Agneya(NOUN,7)
AhAra	1	dcs:AhAram~Ahf(VERB,5)
AhAray	1	dcs:AhArya~Ahf(VERB,7)
Ahan	2	dcs:Ahata~Ahata(NOUN,1);dcs:Ahatam~Ahata(NOUN,1)
Ahanas	2	vidyut:Ahanas~Ahan(noun,3);vidyut:Ahanas~Ahi(noun,1)
Ahartf	1	dcs:AhartA~Ahf(VERB,3)
Ahi	2	vidyut:Aham~ah(noun,3);vidyut:Ahitavat~ADA(noun,3)
Ahnika	1	dcs:Ahnika~Ahnika(ADJ,4)
Aho	1	dcs:Aho~Aha(NOUN,1)
Ahu	3	vidyut:AhUyantAm~Ahve(verb,1);vidyut:AhUyate~Ahve(verb,1);vidyut:AhotA~Ahu(verb,2)
AhvA	1	dcs:Ahvaya~Ahvaya(NOUN,14)
Ahvaya	1	dcs:Ahvaye~AhvA(VERB,5)
AjYA	2	dcs:AjYAtA~AjYAtf(NOUN,1);vidyut:AjYAyi~AjYA(verb,1)
AjYapay	2	dcs:AjYaptAH~AjYapta(ADJ,1);dcs:AjYaptaH~AjYapta(ADJ,1)
Aja	1	dcs:Aja~aj(VERB,2)
Aji	2	dcs:AjA~Aj(VERB,1);vidyut:Ajayat~Aji(verb,1)
AjihIrza	1	vidyut:AjihIrzu~AjihIrzi(noun,3)
Ajya	1	dcs:Ajya~AYj(VERB,1)
AkANkz	1	dcs:AkANkze~AkANkza(ADJ,1)
AkAri	2	vidyut:AkAryam~AkF(noun,3);vidyut:AkAryam~Akf(noun,3)
Akara	2	dcs:AkaraH~Akf(VERB,1);dcs:Akaram~Akf(VERB,2)
Akarza	1	dcs:Akarza~Akfz(VERB,3)
Akfti	1	dcs:Akfte~Akf(VERB,1)
Akfz	1	vidyut:Akarzat~Akfz(verb,1)
AkiMcanya	1	dcs:AkiMcanya~AkiMcanya(ADJ,1)
AkrIqa	1	dcs:AkrIqa~AkrIq(VERB,1)
Akram	1	dcs:Akrama~Akrama(NOUN,1)
Akrand	1	dcs:Akrandita~Akrandita(NOUN,1)
Akula	3	dcs:AkulA~Akula(NOUN,1);dcs:AkulAH~Akula(NOUN,1);dcs:Akulam~Akula(NOUN,2)
Akzika	1	dcs:Akzika~Akzika(ADJ,1)
Akzip	4	dcs:Akzipta~Akzipta(NOUN,5);dcs:AkziptaM~Akzipta(NOUN,1);dcs:Akziptam~Akzipta(NOUN,3);vidyut:Akzepin~Akzepi(noun,4)
AlAli	1	vidyut:AlApayizyaTa~AlApi(verb,1)
AlaB	1	vidyut:AlamBanIya~AlamBi(noun,2)
Alamba	1	dcs:Alamba~Alamb(VERB,2)
AleKya	1	dcs:AleKya~AliK(VERB,3)
Ali	1	vidyut:Alayat~Ali(verb,1)
AliNgay	1	dcs:AliNgya~AliNgya(NOUN,1)
Alok	5	vidyut:Alok~Aloc(noun,7);vidyut:Alok~Aloci(noun,7);vidyut:Alok~Aloki(noun,7);vidyut:AlokyA~Aloc(noun,1);vidyut:AlokyA~Aloki(noun,1)
Alokana	1	dcs:Alokana~Alokana(ADJ,1)
Aloki	2	vidyut:AlokayatAm~Aloki(noun,2);vidyut:Alokayizyan~Aloki(verb,1)
Ama	6	dcs:Ama~Ama(ADJ,121);dcs:AmaH~Am(NOUN,1);dcs:AmaM~Ama(NOUN,8);dcs:Amam~Ama(NOUN,18);dcs:Amasya~Ama(NOUN,4)
Amantri	1	vidyut:Amantrayan~Amantri(verb,1)
Amay	1	dcs:Amayat~Amayant(NOUN,1)
Ami	2	vidyut:Amayad~Ami(verb,3);vidyut:Amayas~Amaya(noun,2)
AmnAya	1	dcs:AmnAya~AmnA(VERB,3)
AnAdi	2	vidyut:AnAdayan~AnAdi(verb,1);vidyut:AnAdayat~AnAdi(verb,1)
AnDra	2	dcs:AnDrAH~AnDra(ADJ,1);dcs:AnDra~AnDra(ADJ,1)
AnI	2	vidyut:AnI~an(noun,8);vidyut:AnI~Ani(noun,8)
Anad	1	vidyut:Anadat~Anad(verb,1)
AnandatA	1	vidyut:AnandatA~Anand(noun,2)
Anandi	1	vidyut:Anandayate~Anandi(verb,1)
Anandin	1	dcs:AnandI~AnandA(NOUN,1)
Anantya	1	dcs:Anantyam~Anantya(ADJ,9)
Anard	3	vidyut:Anarda~Anardi(noun,8);vidyut:Anarda~ard(verb,6);vidyut:Anarda~Anard(verb,1)
AnfSaMsya	2	dcs:AnfSaMsyam~AnfSaMsya(ADJ,4);dcs:AnfSaMsyena~AnfSaMsya(ADJ,1)
Ani	1	vidyut:Anayeya~AnI(verb,1)
Anonu	1	vidyut:AnonavIti~AnonU(verb,1)
Anulomya	1	dcs:Anulomyam~Anulomya(ADJ,1)
Ap	4	dcs:Apat~Apad(NOUN,4);dcs:AptaH~Apta(NOUN,6);dcs:Aptam~Apta(ADJ,2);vidyut:Apus~ApA(verb,1)
ApAna	1	dcs:ApAnam~Ap(VERB,1)
ApF	1	vidyut:Apapra~AprA(verb,1)
ApIta	1	dcs:ApIta~ApA(VERB,4)
Apad	2	dcs:Apad~Ap(VERB,4);dcs:Apadi~Apad(VERB,1)
Apat	1	vidyut:Apatatas~Apat(verb,1)
Api	6	dcs:ApI~Api(ADJ,1);dcs:ApInAm~Apay(VERB,1);dcs:Apaya~Apay(VERB,1);dcs:Api~Ap(NOUN,1);dcs:ApiH~Api(ADJ,4)
Aplu	1	dcs:AplutaH~Apluta(NOUN,1)
AprA	2	dcs:AprA~Apra(ADJ,1);vidyut:AprAt~AprA(verb,1)
ApracC	1	dcs:ApfcCya~ApfcCya(ADJ,1)
Apta	1	dcs:Apta~Apta(ADJ,57)
ApyAyana	1	dcs:ApyAyana~ApyAyana(ADJ,1)
Apya	2	dcs:Apya~Ap(VERB,6);dcs:Apyam~Apya(NOUN,14)
Ap￞	1	dcs:ApUryata~Apf(VERB,3)
Aqi	1	vidyut:Aqayat~Aqi(verb,1)
ArAD	1	vidyut:ArADanIya~ArADi(noun,2)
ArADana	1	dcs:ArADanam~ArADana(ADJ,1)
ArADay	1	dcs:ArADitaH~ArADita(NOUN,1)
ArADaya	1	vidyut:ArADayam~ArADi(verb,1)
ArC	1	dcs:AratAm~fC(VERB,1)
Ara	1	dcs:Ara~fC(VERB,3)
AraB	1	dcs:ArabDa~ArabDa(NOUN,1)
AraRya	1	dcs:AraRya~AraRya(NOUN,1)
AraRyaka	3	dcs:AraRyaka~AraRyaka(NOUN,2);dcs:AraRyakaM~AraRyaka(NOUN,3);dcs:AraRyakam~AraRyaka(ADJ,3)
Arakta	1	dcs:Arakta~AraYj(VERB,2)
Ardra	8	dcs:ArdrA~ArdrA(NOUN,11);dcs:ArdrAt~Ardra(NOUN,2);dcs:Ardra~Ardra(NOUN,20);dcs:ArdraM~Ardra(NOUN,1);dcs:Ardram~Ardra(NOUN,2)
Are	1	dcs:Are~Ara(NOUN,5)
ArjIkIyA	1	vidyut:ArjIkIya~ArjIkIya(noun,2)
Arjava	3	dcs:Arjava~Arjava(ADJ,1);dcs:Arjave~Arjava(ADJ,2);dcs:Arjavena~Arjava(ADJ,4)
Arogya	2	dcs:Arogya~Arogya(ADJ,2);dcs:Arogyam~Arogya(ADJ,6)
Aroha	1	dcs:Arohe~Aruh(VERB,1)
Arta	1	dcs:Arta~fC(VERB,2)
ArtanA	1	vidyut:ArtanA~Artana(noun,1)
Artava	4	dcs:ArtavAH~Artava(ADJ,2);dcs:ArtavAn~Artava(NOUN,2);dcs:ArtavaH~Artava(ADJ,1);dcs:Artavam~Artava(ADJ,4)
AruRI	4	vidyut:AruRI~ArU(noun,6);vidyut:AruRI~Aru(noun,6);vidyut:AruRI~AruRi(noun,6);vidyut:AruRI~AruRin(noun,1)
AruRi	1	dcs:AruRe~AruRa(ADJ,1)
Aruh	4	dcs:ArUQa~ArUQa(NOUN,1);dcs:Aroha~Aroha(NOUN,27);dcs:Aruham~Aruh(ADJ,1);vidyut:ArohatAm~Aruh(verb,2)
Aruja	1	dcs:Arujam~Aruj(VERB,1)
AruzI	1	dcs:AruzI~fC(VERB,1)
Arya	14	dcs:AryA~AryA(NOUN,22);dcs:AryAH~Arya(NOUN,7);dcs:AryARAm~Arya(NOUN,2);dcs:AryAm~AryA(NOUN,2);dcs:AryAyAH~AryA(NOUN,1)
Arza	2	dcs:ArzaM~Arza(NOUN,1);dcs:Arzam~Arza(NOUN,1)
Arzeya	2	dcs:Arzeya~Arzeya(NOUN,1);dcs:ArzeyaM~Arzeya(NOUN,4)
As	1	dcs:Asata~asat(ADJ,1)
AsTA	2	dcs:AsTita~AsTita(ADJ,1);vidyut:AtizWatAm~AsTA(noun,2)
Asa	1	dcs:AsAt~AsAt(ADV,1)
Asad	3	dcs:Asanna~Asanna(ADJ,29);dcs:AsannaH~Asanna(ADJ,1);vidyut:AsIdatAm~Asad(verb,4)
Asan	1	vidyut:AsaBis~Asya(noun,2)
Asanna	1	dcs:Asanne~Asad(VERB,12)
Asev	2	vidyut:Asevita~Asevi(noun,2);vidyut:AsevyA~Asevi(noun,1)
Asf	2	vidyut:ADAvatA~ADAv(noun,2);vidyut:Asaran~Asf(verb,2)
Asi	4	vidyut:Asin~as(noun,4);vidyut:Asin~As(noun,2);vidyut:Asin~Aas(noun,2);vidyut:Asin~AAsi(noun,2)
Asic	2	vidyut:Asecya~Aseci(noun,2);vidyut:Asecya~Aseci(ind,1)
AstF	2	vidyut:Atastare~Astf(verb,4);vidyut:Atastare~AstAri(verb,1)
AstIka	2	dcs:AstIkaH~AstIka(ADJ,1);dcs:AstIke~AstIka(NOUN,1)
Astara	1	dcs:Astara~Astf(VERB,1)
Astika	1	dcs:AstikaH~Astika(ADJ,1)
Asu	1	dcs:Asuta~Asuta(NOUN,1)
AsurI	1	dcs:AsurI~Asura(ADJ,8)
Asura	4	dcs:AsurIM~AsurI(NOUN,1);dcs:AsurIm~AsurI(NOUN,2);dcs:Asura~Asura(NOUN,2);dcs:Asuram~Asura(NOUN,6)
Asuri	1	dcs:Asuri~AsurI(NOUN,1)
AsvAday	1	dcs:AsvAdya~AsvAdya(ADJ,1)
Asya	1	dcs:AsyaM~As(VERB,1)
AtaYci	2	vidyut:Atan~AtaYc(noun,4);vidyut:Atan~at(verb,1)
Atan	1	dcs:AtatanTa~AtatanTa(NOUN,1)
Atani	1	vidyut:Atani~Ati(noun,1)
Atap	1	vidyut:Atapat~Atap(verb,1)
Atapa	1	dcs:AtapaH~Atap(VERB,1)
Atarpi	1	vidyut:Atarpayat~Atarpi(verb,2)
AtiTya	3	dcs:AtiTya~AtiTya(ADJ,1);dcs:AtiTyaM~AtiTya(ADJ,1);dcs:AtiTyam~AtiTya(ADJ,2)
AtizWa	1	vidyut:AtizWam~AsTA(verb,1)
Atmagata	1	vidyut:Atmagatam~Atmagatam(ind,1)
Atmaja	1	dcs:Atmaje~AtmajA(NOUN,24)
AtmasamBavA	1	vidyut:AtmasamBava~AtmasamBava(noun,2)
AtmodBavA	1	vidyut:AtmodBave~AtmodBava(noun,9)
Atud	1	vidyut:Atodin~Atodi(noun,2)
AvApi	6	vidyut:AvApti~AvAji(noun,6);vidyut:AvAyam~AvAyi(noun,12);vidyut:AvAyam~AvE(noun,3);vidyut:AvAyam~Ave(noun,3);vidyut:AvAyam~AvA(noun,3)
AvaSyaka	1	dcs:AvaSyaka~AvaSyaka(NOUN,4)
Avah	2	dcs:Avaha~Avaha(ADJ,5);vidyut:AvahatAm~Avah(noun,2)
Avaha	3	dcs:AvahaH~Avaha(NOUN,4);dcs:Avaham~Avah(VERB,2);dcs:Avahe~Avaha(NOUN,1)
Avantika	1	vidyut:Avantika~AvantikA(noun,3)
Avap	1	vidyut:Avapa~Avap(verb,1)
Avarji	2	vidyut:Avarjayata~Avfj(verb,3);vidyut:AvarjayetAm~Avfj(verb,3)
Avarta	2	dcs:Avarta~Avft(VERB,6);dcs:AvartaM~Avft(VERB,1)
Avartin	2	vidyut:Avartin~Avft(noun,2);vidyut:Avartin~Avarti(noun,2)
AvasaTa	1	dcs:AvasaTa~Avas(VERB,1)
Avat	1	dcs:Avad~av(VERB,3)
Avay	1	dcs:AvayaH~Avi(NOUN,2)
Ave	3	dcs:ota~ota(ADJ,1);dcs:otaM~ota(ADJ,1);dcs:otam~ota(ADJ,1)
Avedi	3	vidyut:Aveda~Avid(noun,6);vidyut:Aveda~Avid(verb,2);vidyut:AvedayatAm~Avedi(noun,2)
Avf	7	dcs:AvftAM~Avft(NOUN,1);dcs:AvftAm~Avft(NOUN,2);dcs:Avfta~Avft(NOUN,1);dcs:AvftaH~Avft(NOUN,36);dcs:AvftaM~Avft(NOUN,1)
Avft	1	dcs:AvftA~Avf(VERB,46)
Avfz	1	vidyut:Avarzat~Avfz(verb,1)
Avid	1	vidyut:Avit~AvyaD(noun,7)
Avika	1	dcs:Avika~Avika(NOUN,1)
Avila	1	dcs:Avila~Avila(NOUN,1)
Avis	3	dcs:AviH~Avi(NOUN,2);dcs:Avir~Avi(NOUN,2);dcs:Aviz~Avi(NOUN,1)
AvivAsa	7	vidyut:AvivAs~AvivAsi(noun,21);vidyut:AvivAsa~AvivAsi(noun,24);vidyut:AvivAsa~AvivAsa(verb,6);vidyut:AvivAsata~AvivAsi(verb,6);vidyut:AvivAse~AvivAsi(noun,117)
AvivAsi	1	vidyut:AvivAsanta~AvivAsa(verb,1)
AvyaD	3	dcs:AvidDa~AvidDa(ADJ,2);dcs:AvidDam~AvidDa(NOUN,4);vidyut:AviDyat~AvyaD(verb,1)
AyA	3	dcs:AyAmi~AyAmin(ADJ,3);dcs:AyAsya~AyAsay(VERB,1);dcs:AyAti~AyAti(NOUN,3)
AyAc	1	dcs:AyAcitaM~AyAcita(NOUN,1)
AyAma	1	dcs:AyAma~AyA(VERB,4)
AyAmi	1	vidyut:AyantI~Ayam(noun,6)
AyAsi	1	vidyut:AyAsaka~Ayas(noun,2)
Aya	1	dcs:AyaM~i(VERB,3)
Ayajin	1	dcs:AyajI~Ayaji(ADJ,1)
Ayam	2	dcs:AyatA~Ayata(ADJ,2);dcs:Ayatam~Ayata(ADJ,12)
Ayasa	4	dcs:AyasAni~Ayasa(NOUN,1);dcs:Ayasa~Ayasa(NOUN,20);dcs:AyasaM~Ayasa(NOUN,4);dcs:Ayasam~Ayasa(NOUN,38)
Ayati	3	dcs:Ayati~e(VERB,15);dcs:AyatyA~e(VERB,1);dcs:AyatyAm~e(VERB,1)
Ayi	2	vidyut:Ayita~Aay(noun,2);vidyut:Ayita~AAyi(noun,2)
Ayu	5	dcs:Ayava~Ayu(NOUN,1);dcs:AyavaH~Ayu(ADJ,3);dcs:Ayave~Ayu(ADJ,1);dcs:Ayavo~Ayu(ADJ,1);dcs:AyuBiH~Ayu(ADJ,1)
AyuD	1	vidyut:AyoDyAyAm~AyoDi(noun,1)
Ayus	1	dcs:Ayuza~Ayuza(NOUN,3)
Ayuta	1	dcs:Ayutam~Ayuta(NOUN,1)
Ayuzmant	1	dcs:Ayuzmant~Ayuzmat(ADJ,1)
Ayuzmat	1	dcs:AyuzmAn~Ayuzmant(NOUN,1)
Ayuzya	1	dcs:Ayuzya~Ayuzya(ADJ,10)
Azi	2	vidyut:Aza~az(verb,3);vidyut:Aza~az(noun,2)
AzwrA	1	vidyut:Azwra~Azwra(noun,2)
BA	1	dcs:BAsi~BAs(NOUN,4)
BAga	1	dcs:BAgaH~tatas(ADV,1)
BAgaDeya	1	dcs:BAgaDeyam~BAgaDeya(ADJ,1)
BAjana	1	dcs:BAjanam~BAjana(ADJ,1)
BAji	3	vidyut:BAjayate~BAji(verb,5);vidyut:aBAji~Baj(verb,1);vidyut:aBAji~BaYj(verb,1)
BAmi	1	vidyut:BAmita~BAm(noun,2)
BAnumant	2	dcs:BAnumAn~BAnumat(ADJ,1);dcs:BAnumantam~BAnumat(ADJ,3)
BAradvAja	4	dcs:BAradvAjaH~BAradvAja(ADJ,1);dcs:BAradvAjaM~BAradvAja(ADJ,2);dcs:BAradvAjam~BAradvAja(ADJ,4);dcs:BAradvAjo~BAradvAja(ADJ,1)
BAratI	2	dcs:BAratI~BArata(ADJ,21);dcs:BAratIm~BArata(ADJ,3)
BArata	11	dcs:BAratA~BArata(ADJ,1);dcs:BAratAH~BArata(ADJ,1);dcs:BAratAnAM~BArata(ADJ,1);dcs:BAratAnAm~BArata(ADJ,2);dcs:BAratIM~BAratI(NOUN,10)
BArgavI	1	dcs:BArgavI~BArgava(ADJ,1)
BArgava	5	dcs:BArgava~BArgava(ADJ,5);dcs:BArgavaH~BArgava(ADJ,3);dcs:BArgavaM~BArgava(ADJ,2);dcs:BArgavam~BArgava(ADJ,2);dcs:BArgave~BArgava(ADJ,2)
BAri	2	vidyut:BArin~Bf(noun,4);vidyut:BArin~BF(noun,2)
BArin	1	dcs:BAri~Bf(VERB,1)
BAryA	4	dcs:BAryA~Bf(VERB,3);dcs:BAryAM~Bf(VERB,1);dcs:BAryaH~Bf(VERB,5);dcs:BArye~Bf(VERB,1)
BAs	3	dcs:BA~BA(NOUN,36);dcs:BAsAM~BAsA(NOUN,1);dcs:BAsaH~BAsa(NOUN,9)
BAsas	1	vidyut:BAsase~BAs(verb,1)
BAsi	2	vidyut:BAsakam~BAs(noun,6);vidyut:BAsakam~Bas(noun,3)
BAskara	5	dcs:BAskara~BAskara(ADJ,3);dcs:BAskaraH~BAskara(ADJ,1);dcs:BAskaraM~BAskara(ADJ,4);dcs:BAskaram~BAskara(ADJ,6);dcs:BAskare~BAskara(ADJ,8)
BAsvant	2	dcs:BAsvAn~BAsvat(ADJ,1);dcs:BAsvati~BAsvat(ADJ,2)
BAsvara	2	dcs:BAsvara~BAsvara(NOUN,1);dcs:BAsvaram~BAsvara(NOUN,2)
BAsvat	3	dcs:BAsvat~BAsvant(NOUN,5);dcs:BAsvatA~BAsvant(NOUN,4);dcs:BAsvatI~BAsvatI(NOUN,1)
BAva	1	dcs:BAvataH~BAvatas(ADV,3)
BAvajYA	1	vidyut:BAvajYa~BAvajYa(noun,2)
BAvanA	3	dcs:BAvanA~BAvana(ADJ,2);dcs:BAvanAH~BAvana(ADJ,6);dcs:BAvanaM~BAvana(NOUN,3)
BAvana	3	dcs:BAvana~BAvanA(NOUN,3);dcs:BAvanaH~BAvanA(NOUN,5);dcs:BAvanam~BAvanA(NOUN,12)
BAvay	1	dcs:BAvya~BAvya(ADJ,4)
BAvi	3	vidyut:BAvayitavya~BU(noun,2);vidyut:BAvayitf~BU(noun,3);vidyut:aBAvayata~BU(verb,2)
BAvin	2	dcs:BAvinI~BAvinI(NOUN,2);dcs:BAvinaH~BAvin(NOUN,1)
BAvuka	1	dcs:BAvuka~BAvuka(NOUN,1)
BAz	3	dcs:BAzitA~BAzitf(ADJ,7);dcs:BAzitaM~BAzita(NOUN,39);dcs:BAzitam~BAzita(NOUN,117)
BAzi	3	vidyut:BAzin~BAz(noun,2);vidyut:BAzin~Baz(noun,2);vidyut:BAzyamARa~BAz(noun,2)
BAzita	1	dcs:BAzita~BAz(VERB,7)
BI	5	dcs:BI~aBi(ADP,1);dcs:BIta~BIta(NOUN,2);dcs:BIto~aBIta(ADJ,1);vidyut:BIm~Ba(noun,2);vidyut:BItavat~BItavat(ind,1)
BIma	14	dcs:BImA~BImA(NOUN,4);dcs:BImAH~BIma(NOUN,1);dcs:BImAm~BImA(NOUN,1);dcs:BImAn~BIma(NOUN,1);dcs:BImAt~BIma(ADJ,1)
BImaraTA	1	vidyut:BImaraTa~BImaraTa(noun,2)
BIru	2	dcs:BIru~BIru(NOUN,3);dcs:BIruH~BIru(NOUN,5)
BIzA	1	dcs:BIzA~BIzA(ADV,1)
BIzaRa	2	dcs:BIzaRa~BIzaRa(NOUN,2);dcs:BIzaRe~BIzaRa(NOUN,1)
BIzay	1	dcs:BIzayA~BIzA(NOUN,1)
BIzita	2	dcs:BIzitAH~BIzay(VERB,2);dcs:BIzitaH~BIzay(VERB,1)
BIzma	7	dcs:BIzmAya~BIzma(ADJ,1);dcs:BIzma~BIzma(ADJ,4);dcs:BIzmaH~BIzma(ADJ,1);dcs:BIzmaM~BIzma(ADJ,1);dcs:BIzmam~BIzma(ADJ,1)
BU	52	dcs:BAvyasya~BAvya(NOUN,1);dcs:BU~BU(ADV,1);dcs:BUH~BU(VERB,39);dcs:BUr~BU(VERB,25);dcs:BUs~BU(VERB,4)
BUman	2	dcs:BUmA~BU(VERB,1);dcs:BUma~BU(VERB,10)
BUmi	1	dcs:BUmyA~BUmya(ADJ,2)
BUri	3	dcs:BUrI~BUrI(NOUN,1);dcs:BUri~BUri(NOUN,4);dcs:BUriH~BUri(ADJ,3)
